,movie_id,title,genres,user_id,rating,timestamp
9727,318,"Shawshank Redemption, The (1994)",Crime|Drama,440,5.0,835336996
9703,318,"Shawshank Redemption, The (1994)",Crime|Drama,387,5.0,974791223
9807,318,"Shawshank Redemption, The (1994)",Crime|Drama,590,5.0,848677432
9702,318,"Shawshank Redemption, The (1994)",Crime|Drama,385,5.0,836679015
9540,318,"Shawshank Redemption, The (1994)",Crime|Drama,23,5.0,1148668964
9704,318,"Shawshank Redemption, The (1994)",Crime|Drama,388,5.0,946525738
9705,318,"Shawshank Redemption, The (1994)",Crime|Drama,389,5.0,829492316
9581,318,"Shawshank Redemption, The (1994)",Crime|Drama,115,5.0,1107034264
9806,318,"Shawshank Redemption, The (1994)",Crime|Drama,588,5.0,842298126
9809,318,"Shawshank Redemption, The (1994)",Crime|Drama,596,5.0,1138659437
9537,318,"Shawshank Redemption, The (1994)",Crime|Drama,17,5.0,1127469420
9588,318,"Shawshank Redemption, The (1994)",Crime|Drama,125,5.0,1244537564
9699,318,"Shawshank Redemption, The (1994)",Crime|Drama,379,5.0,1378179951
9627,318,"Shawshank Redemption, The (1994)",Crime|Drama,216,5.0,1095792470
9812,318,"Shawshank Redemption, The (1994)",Crime|Drama,607,5.0,1113319688
9583,318,"Shawshank Redemption, The (1994)",Crime|Drama,117,5.0,1320636964
9810,318,"Shawshank Redemption, The (1994)",Crime|Drama,598,5.0,1008571588
9629,318,"Shawshank Redemption, The (1994)",Crime|Drama,219,5.0,974477319
9585,318,"Shawshank Redemption, The (1994)",Crime|Drama,121,5.0,833058414
9811,318,"Shawshank Redemption, The (1994)",Crime|Drama,602,5.0,842356712
9578,318,"Shawshank Redemption, The (1994)",Crime|Drama,109,5.0,1153862063
9712,318,"Shawshank Redemption, The (1994)",Crime|Drama,410,5.0,1434057915
9570,318,"Shawshank Redemption, The (1994)",Crime|Drama,94,5.0,1291779616
9788,318,"Shawshank Redemption, The (1994)",Crime|Drama,559,5.0,883676743
9632,318,"Shawshank Redemption, The (1994)",Crime|Drama,235,5.0,1111625666
9789,318,"Shawshank Redemption, The (1994)",Crime|Drama,560,5.0,1452848501
9790,318,"Shawshank Redemption, The (1994)",Crime|Drama,562,5.0,1167428239
9706,318,"Shawshank Redemption, The (1994)",Crime|Drama,391,5.0,891533562
9791,318,"Shawshank Redemption, The (1994)",Crime|Drama,566,5.0,1386910312
9792,318,"Shawshank Redemption, The (1994)",Crime|Drama,567,5.0,1436823311
9793,318,"Shawshank Redemption, The (1994)",Crime|Drama,568,5.0,835002248
9787,318,"Shawshank Redemption, The (1994)",Crime|Drama,556,5.0,842019723
9785,318,"Shawshank Redemption, The (1994)",Crime|Drama,553,5.0,1423010524
9546,318,"Shawshank Redemption, The (1994)",Crime|Drama,42,5.0,1473258147
9786,318,"Shawshank Redemption, The (1994)",Crime|Drama,555,5.0,832091005
9711,318,"Shawshank Redemption, The (1994)",Crime|Drama,409,5.0,828213115
9794,318,"Shawshank Redemption, The (1994)",Crime|Drama,569,5.0,965070662
9668,318,"Shawshank Redemption, The (1994)",Crime|Drama,314,5.0,1437338217
9801,318,"Shawshank Redemption, The (1994)",Crime|Drama,583,5.0,1430526116
9802,318,"Shawshank Redemption, The (1994)",Crime|Drama,584,5.0,1271762150
9542,318,"Shawshank Redemption, The (1994)",Crime|Drama,30,5.0,945112993
9576,318,"Shawshank Redemption, The (1994)",Crime|Drama,104,5.0,1446673698
9667,318,"Shawshank Redemption, The (1994)",Crime|Drama,313,5.0,1105354569
9796,318,"Shawshank Redemption, The (1994)",Crime|Drama,574,5.0,1232914580
9573,318,"Shawshank Redemption, The (1994)",Crime|Drama,99,5.0,947519825
9709,318,"Shawshank Redemption, The (1994)",Crime|Drama,400,5.0,840205118
9838,318,"Shawshank Redemption, The (1994)",Crime|Drama,670,5.0,938781934
9611,318,"Shawshank Redemption, The (1994)",Crime|Drama,178,5.0,1437422760
9685,318,"Shawshank Redemption, The (1994)",Crime|Drama,352,5.0,1420521083
9612,318,"Shawshank Redemption, The (1994)",Crime|Drama,183,5.0,983096713
9839,318,"Shawshank Redemption, The (1994)",Crime|Drama,671,5.0,1064890397
9684,318,"Shawshank Redemption, The (1994)",Crime|Drama,350,5.0,1006983667
9609,318,"Shawshank Redemption, The (1994)",Crime|Drama,168,5.0,848866631
9604,318,"Shawshank Redemption, The (1994)",Crime|Drama,160,5.0,974256031
9829,318,"Shawshank Redemption, The (1994)",Crime|Drama,654,5.0,1145390159
9623,318,"Shawshank Redemption, The (1994)",Crime|Drama,202,5.0,1046144523
9622,318,"Shawshank Redemption, The (1994)",Crime|Drama,201,5.0,1110421776
9833,318,"Shawshank Redemption, The (1994)",Crime|Drama,661,5.0,1190266808
9605,318,"Shawshank Redemption, The (1994)",Crime|Drama,161,5.0,837629406
9834,318,"Shawshank Redemption, The (1994)",Crime|Drama,662,5.0,839022237
9606,318,"Shawshank Redemption, The (1994)",Crime|Drama,163,5.0,1294084408
9836,318,"Shawshank Redemption, The (1994)",Crime|Drama,665,5.0,995233192
9618,318,"Shawshank Redemption, The (1994)",Crime|Drama,192,5.0,843633747
9680,318,"Shawshank Redemption, The (1994)",Crime|Drama,342,5.0,945123774
9617,318,"Shawshank Redemption, The (1994)",Crime|Drama,191,5.0,839925587
9678,318,"Shawshank Redemption, The (1994)",Crime|Drama,339,5.0,1446663091
9679,318,"Shawshank Redemption, The (1994)",Crime|Drama,340,5.0,1410252785
9616,318,"Shawshank Redemption, The (1994)",Crime|Drama,188,5.0,841063550
9613,318,"Shawshank Redemption, The (1994)",Crime|Drama,184,5.0,833524803
9614,318,"Shawshank Redemption, The (1994)",Crime|Drama,185,5.0,1003524104
9682,318,"Shawshank Redemption, The (1994)",Crime|Drama,345,5.0,1106949157
9615,318,"Shawshank Redemption, The (1994)",Crime|Drama,187,5.0,1228072636
9681,318,"Shawshank Redemption, The (1994)",Crime|Drama,344,5.0,850727506
9687,318,"Shawshank Redemption, The (1994)",Crime|Drama,354,5.0,846062317
9695,318,"Shawshank Redemption, The (1994)",Crime|Drama,371,5.0,1462734560
9694,318,"Shawshank Redemption, The (1994)",Crime|Drama,370,5.0,1096511027
9529,318,"Shawshank Redemption, The (1994)",Crime|Drama,3,5.0,1298862121
9693,318,"Shawshank Redemption, The (1994)",Crime|Drama,369,5.0,847465462
